id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1088989026547588172,https://www.nocarz.pl/rooms/1088989026547588172,20241221052002,2024-12-21,city scrape,cozy and cool Apt. in  Moabit,"My beautiful, small apartment is located on the front building 4th floor of a Berlin old building - south side - with a small balcony. 1 room with a 160 cm wide bed, shower room and small kitchen, located in Moabit, close to Tiergarten and City West, on the U9,  close to Plötzensee and the highway.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA4ODk4OTAyNjU0NzU4ODE3Mg%3D%3D/original/a40cfe9b-f077-4482-a5ff-1908d5813865.jpeg,69323623,https://www.nocarz.pl/users/show/69323623,Kati,2016-04-28,"Mecklenburgische Seenplatte, Germany","Wir haben der Großstadt den Rücken gekehrt, leben seit Frühjahr 2023 in unserem neusanierten Haus - einer ehemaligen Stellmacherei und versuchen uns als Neuankömmlinge in die Dorfgemeinschaft einzubringen.",within a few hours,100%,69%,t,https://a0.muscache.com/im/pictures/user/User-69323623/original/e6ec0965-546b-40d2-ad27-dc537c61f70c.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-69323623/original/e6ec0965-546b-40d2-ad27-dc537c61f70c.jpeg?aki_policy=profile_x_medium,,2,4,"['email', 'phone', 'work_email']",t,t,,Moabit West,Mitte,52.53096918661826,13.332679644227028,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,0,"[""Wine glasses"", ""Coffee"", ""Kitchen"", ""Room-darkening shades"", ""Bed linens"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Other induction stove"", ""Private patio or balcony"", ""Refrigerator"", ""Freezer"", ""Hot water"", ""Central heating"", ""Smart lock"", ""Cleaning products"", ""Dining table"", ""Dishwasher"", ""Toaster"", ""Clothing storage: dresser"", ""Self check-in"", ""Cooking basics"", ""Paid street parking off premises"", ""Wifi""]",$130.00,2,365,2,5,365,365,2.1,365.0,,t,23,49,74,232,2024-12-21,10,10,0,2024-04-01,2024-09-29,4.5,4.4,4.7,4.2,4.5,4.5,4.5,01/Z/AZ/015942-23,f,1,1,0,0,1.13
939185728575965294,https://www.nocarz.pl/rooms/939185728575965294,20241221052002,2024-12-21,city scrape,Space + Hygge feeling 130 qm,We are hosting 8 Apartments in a house in Berlin Mitte/Gesundbrunnen - about 10 min to Alexanderplatz by subway (5 subway stations) All people are welcome - especially families who enjoy large apartments a hygge homestyle and a cozy atmosphere.  Coming together as friends and family - having a nice time and feeling comfortable - that's what we want for our guests.,,https://a0.muscache.com/pictures/miso/Hosting-939185728575965294/original/bd9005ec-fff6-40c4-9ada-fe0f1a62571d.jpeg,492790133,https://www.nocarz.pl/users/show/492790133,Janosch,2022-12-26,,"",within a day,70%,73%,f,https://a0.muscache.com/im/pictures/user/User-492790133/original/4aba8e17-3127-4faa-9ddc-24b8d463c518.png?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-492790133/original/4aba8e17-3127-4faa-9ddc-24b8d463c518.png?aki_policy=profile_x_medium,,6,8,"['email', 'phone']",t,t,,Wedding Zentrum,Mitte,52.55396,13.37901,Entire rental unit,Entire home/apt,8,1.0,1 bath,2,4,"[""Free parking on premises"", ""Coffee"", ""Kitchen"", ""Room-darkening shades"", ""Smoke alarm"", ""Crib"", ""Dishes and silverware"", ""Cleaning available during stay"", ""Coffee maker"", ""Hot water kettle"", ""Long term stays allowed"", ""Hair dryer"", ""Stove"", ""Microwave"", ""Refrigerator"", ""Freezer"", ""Hot water"", ""Portable fans"", ""Children\u2019s books and toys"", ""Pack \u2019n play/Travel crib"", ""Lockbox"", ""Baking sheet"", ""Drying rack for clothing"", ""Dining table"", ""Luggage dropoff allowed"", ""Hangers"", ""Paid parking on premises"", ""Body soap"", ""Heating"", ""Pets allowed"", ""Washer"", ""Dishwasher"", ""High chair"", ""Oven"", ""TV"", ""Backyard"", ""Elevator"", ""Self check-in"", ""Cooking basics"", ""Wifi"", ""Iron""]",$297.00,2,365,1,2,365,365,2.0,365.0,,t,14,38,68,301,2024-12-21,5,0,0,2023-07-23,2023-09-10,5.0,5.0,5.0,5.0,5.0,4.6,4.8,"First name and Last name: Nicola Aleff <br/> Contact address: Badstraße44, 13357, Berlin, Deutschland <br/>Listing address: Badstraße44, 13357, Berlin, Deutschland",f,6,6,0,0,0.29
792795513324956525,https://www.nocarz.pl/rooms/792795513324956525,20241221052002,2024-12-21,city scrape,Zimmer in Moabit mit Loggia,Enjoy your Berlin stay at this well equipped and centrally located accommodation (e.g. 9min. Walking distance + 8min. Take the M10 to Central Station)! <br /> <br />Want to enjoy your hot drink in the morning sun on the loggia or focus on the large dining table to work and dine at the large dining table? After a long day of shopping quickly and then enjoy a warm shower? Then you will certainly feel comfortable here!,"The apartment is located in the front house on a traffic-calmed street, centrally adjacent to the lively Turmstr., where everything can be found for everyday needs. <br /><br />The house is a colorful mixed house and is inhabited by both single couples, shared flats and families.",https://a0.muscache.com/pictures/hosting/Hosting-792795513324956525/original/d16d7aa0-6de7-42b7-af69-6ec931561844.jpeg,13176887,https://www.nocarz.pl/users/show/13176887,Rebecca,2014-03-16,"Berlin, Germany",...,within a few hours,100%,54%,t,https://a0.muscache.com/im/pictures/user/User-13176887/original/177c9b7c-4446-4afe-9f67-e71262e39ad9.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-13176887/original/177c9b7c-4446-4afe-9f67-e71262e39ad9.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Berlin, Germany",Moabit West,Mitte,52.5298428,13.3358041,Private room in rental unit,Private room,2,1.0,1 shared bath,1,1,"[""Beco refrigerator"", ""HDTV with standard cable, DVD player"", ""Wine glasses"", ""Coffee"", ""Kitchen"", ""Room-darkening shades"", ""Shampoo"", ""Bed linens"", ""Smoke alarm"", ""Paid washer \u2013 In unit"", ""Extra pillows and blankets"", ""Single level home"", ""Dishes and silverware"", ""Cleaning available during stay"", ""Coffee maker"", ""Game console"", ""Children\u2019s books and toys for ages 0-2 years old"", ""Hot water kettle"", ""Hair dryer"", ""Laundromat nearby"", ""Clothing storage"", ""Children\u2019s bikes"", ""Fast wifi \u2013 103 Mbps"", ""Microwave"", ""Freezer"", ""Hot water"", ""Central heating"", ""Baking sheet"", ""Children\u2019s dinnerware"", ""Drying rack for clothing"", ""Books and reading material"", ""Dining table"", ""Shower gel"", ""Body soap"", ""Dedicated workspace"", ""Pets allowed"", ""Blender"", ""Lock on bedroom door"", ""Host greets you"", ""Essentials"", ""Conditioner"", ""First aid kit"", ""Dishwasher"", ""Toaster"", ""Amica electric stove"", ""Bathtub"", ""Elevator"", ""Pioneer Bluetooth sound system"", ""Cooking basics"", ""Paid street parking off premises"", ""Board games"", ""Iron"", ""Amica  oven""]",$56.00,1,30,1,30,30,30,2.5,30.0,,t,3,3,3,3,2024-12-21,38,22,1,2023-02-26,2024-12-09,4.97,4.95,4.95,4.97,5.0,4.79,4.92,01/Z/AZ/014915-22,f,1,0,1,0,1.71
395063,https://www.nocarz.pl/rooms/395063,20241221052002,2024-12-21,previous scrape,"großes, helles Zimmer in Altbauwohnung","My apartment is a typical Berlin old building apartment with high ceilings and wooden floorboards. Located on the first floor in the front house, it's bright and friendly. The road departs from Frankfurter Allee, but you can hardly hear the traffic. The Samariterstraße metro stop is a 3-minute walk away. In the neighborhood there are many shops, restaurants, snacks and pubs; a lively mix of Friedrichshainer.","There are many restaurants, eateries, pubs and shopping.",https://a0.muscache.com/pictures/miso/Hosting-395063/original/e3ea0232-f23c-4fa7-bbda-32e18ee1f207.jpeg,1974695,https://www.nocarz.pl/users/show/1974695,Katharina,2012-03-20,"Berlin, Germany","Ich habe Europäische Ethnologie und Italienisch studiert und arbeite als Buchhändlerin.
Ich habe für eine gewisse Zeit in Italien gelebt und wohne seit 1992 in Berlin. Kino und Literatur interessieren mich und ich koche und esse gerne.",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/User-1974695/original/d33ae4da-aebf-48b5-9086-25ee8c74ad5a.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1974695/original/d33ae4da-aebf-48b5-9086-25ee8c74ad5a.jpeg?aki_policy=profile_x_medium,Friedrichshain,1,2,"['email', 'phone']",t,t,"Berlin, Germany",Frankfurter Allee Nord,Friedrichshain-Kreuzberg,52.51586,13.46388,Private room in rental unit,Private room,1,,1 shared bath,,,"[""Wine glasses"", ""Free parking on premises"", ""Kitchen"", ""Bed linens"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Cooking basics"", ""Dishes and silverware"", ""Coffee maker"", ""Hot water kettle"", ""Long term stays allowed"", ""Hair dryer"", ""Patio or balcony"", ""Stove"", ""Refrigerator"", ""Hot water"", ""Children\u2019s books and toys"", ""Baking sheet"", ""Piano"", ""Paid parking off premises"", ""Clothing storage: wardrobe"", ""Dining table"", ""Luggage dropoff allowed"", ""Hangers"", ""Body soap"", ""Heating"", ""Dedicated workspace"", ""Pets allowed"", ""Host greets you"", ""Essentials"", ""First aid kit"", ""Washer"", ""Dishwasher"", ""Oven"", ""Bathtub"", ""Backyard"", ""Cleaning products"", ""Wifi"", ""Iron"", ""Free street parking""]",,3,30,3,3,30,30,3.0,30.0,,t,0,0,0,0,2024-12-21,104,17,1,2013-05-12,2024-12-13,4.9,4.95,4.84,4.92,4.96,4.94,4.88,02/Z/AZ/014166-21,f,1,0,1,0,0.74
693875439205002933,https://www.nocarz.pl/rooms/693875439205002933,20241221052002,2024-12-21,city scrape,Berlin Flower's | Suite L with sofa bed,"At limehome, we believe that everyone deserves a better place while traveling. A place to look forward to return to. A place designed to stay®. Whether you are looking for a home away from home or a quiet place to work - our apartments feature high-quality fittings including a premium hotel bed for restful nights & suite dreams. Our digital-enabled guest journey without a physical reception and staff on-site makes your stay more convenient.","It doesn't get more central than this! Only a few minutes away from the Hackesche Höfe and Alexanderplatz you will find our Flower's Berlin by limehome. Due to the homely ambience of our apartments you can relax and unwind away from the hustle and bustle of the city. If the Berlin flair appeals to you, you can visit the surrounding cafes, restaurants, boutiques, museums and art galleries.",https://a0.muscache.com/pictures/prohost-api/Hosting-693875439205002933/original/6cc94aae-cf8d-4784-a918-6ce4f8a6ad03.jpeg,418270816,https://www.nocarz.pl/users/show/418270816,Limehome,2021-08-13,,"At limehome, we believe that everyone deserves a better place while travelling. A place to look forward to return to. Simply a place designed to stay®. Whether you are looking for a home away from home or a quiet place to work - our homey Suites feature high-quality fittings for restful nights & suite dreams. Our digital-enabled guest journey without a physical reception and staff on-site makes your stay more convenient.",within an hour,95%,99%,f,https://a0.muscache.com/im/pictures/user/0b5b504b-a884-41ac-ac2c-2700385f50a4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0b5b504b-a884-41ac-ac2c-2700385f50a4.jpg?aki_policy=profile_x_medium,Nové Město,833,928,"['email', 'phone']",t,t,"Berlin, Germany",Alexanderplatz,Mitte,52.52713,13.407718,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Room-darkening shades"", ""Shampoo"", ""Bed linens"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water kettle"", ""Long term stays allowed"", ""Hair dryer"", ""Stove"", ""Refrigerator"", ""Hot water"", ""Private entrance"", ""Fire extinguisher"", ""Shower gel"", ""Hangers"", ""Body soap"", ""Heating"", ""Dedicated workspace"", ""Essentials"", ""Carbon monoxide alarm"", ""Toaster"", ""Coffee maker: Nespresso"", ""TV"", ""Elevator"", ""Self check-in"", ""Cooking basics"", ""Wifi"", ""Keypad""]",$133.00,1,365,1,1,180,999,1.0,732.2,,t,6,21,47,302,2024-12-21,10,8,1,2023-03-03,2024-11-21,4.8,5.0,4.9,5.0,4.7,4.8,4.4,"Legal entity name and Legal form: Peter & Peter Boarding House Mitte GmbH <br/>Legal representatives or Trade register number: HRB 268344 <br/> Entity address: Rosenheimer Str. 143 A-D, 81671, München, Germany <br/>Listing address: 1 Mulackstraße , 10119, Berlin, Germany",t,72,72,0,0,0.45
638929182228409025,https://www.nocarz.pl/rooms/638929182228409025,20241221052002,2024-12-21,city scrape,colorful apartment near vibrant Boxhagener Platz,"Welcome home in Friedrichshain! Our 58 square meter entire apartment is colorfully renovated, with a light & bright open kitchen/living room, high ceilings, modern furnishings & two separate bedrooms. While on a quieter street, it is minutes from the restaurants/cafes, art & nightlife of Simon Dach Kiez or Boxhagener Platz popular weekend markets. Attractions close by are the Spree riverfront, Eastside Gallery & Mercedes-Benz Arena. We are accessibility friendly, located on the ground floor.","Boxhagener Platz is a vibrant neighborhood bursting with creativity and energy. The streets are lined with cool cafes, antique theaters, and markets full of unique treasures. This is a place where vegetarians, cinephiles, and clubbers alike can find something to satisfy their cravings and more. It's a true bohemian paradise in the middle of Friedrichshain.",https://a0.muscache.com/pictures/miso/Hosting-638929182228409025/original/a78dbfca-3345-4d71-b32d-2ca5c9b7f32b.jpeg,9431809,https://www.nocarz.pl/users/show/9431809,Remy,2013-10-14,"Berlin, Germany","Hello and thanks for checking out our profile! Waldo and I live and work in Berlin. The neighbourhood of Friedrichshain is where we call home, and we'd love to share it with you! Long forest walks, cooking, cafes and bars are things we like to do and experience. ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/3c17a34c-8040-40ba-bd2f-44474fa615ee.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3c17a34c-8040-40ba-bd2f-44474fa615ee.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Berlin, Germany",Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,52.50779,13.46144,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Stainless steel induction stove"", ""Wine glasses"", ""Kitchen"", ""Room-darkening shades"", ""Bed linens"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Standalone high chair - available upon request"", ""Cooking basics"", ""Dishes and silverware"", ""SMEG refrigerator"", ""Hot water kettle"", ""Hair dryer"", ""Laundromat nearby"", ""Coffee maker: drip coffee maker, french press"", ""Freezer"", ""Hot water"", ""Portable fans"", ""Central heating"", ""Fast wifi \u2013 54 Mbps"", ""Baking sheet"", ""IKEA stainless steel oven"", ""Smart lock"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Crib - available upon request"", ""Dining table"", ""Hangers"", ""Babysitter recommendations"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Pets allowed"", ""Essentials"", ""First aid kit"", ""Carbon monoxide alarm"", ""HDTV with Netflix, Chromecast"", ""Dishwasher"", ""Toaster"", ""Bathtub"", ""Self check-in"", ""Cleaning products"", ""Paid street parking off premises"", ""Window guards"", ""Single level home"", ""Iron""]",$122.00,4,30,2,4,1125,1125,4.0,1125.0,,t,18,38,64,134,2024-12-21,113,48,3,2022-08-23,2024-12-05,4.92,4.91,4.87,4.89,4.93,4.86,4.73,02/Z/AZ/015427-22,f,1,1,0,0,3.98
633358953046617200,https://www.nocarz.pl/rooms/633358953046617200,20241221052002,2024-12-21,city scrape,100qm Arty Loft in Prenzlauer Berg (S-Ringbahn),"Large apartment in the heart of Prenzlauer Berg, 2 minutes from S-Bahn / Ringbahn",,https://a0.muscache.com/pictures/9b23b5b2-b494-4a78-82eb-7fcdd49e3a14.jpg,2573238,https://www.nocarz.pl/users/show/2573238,Ann-Sophie,2012-06-07,"Berlin, Germany","Travelling a lot, reliable and friendly.",N/A,N/A,0%,f,https://a0.muscache.com/im/pictures/user/User-2573238/original/4e79d9aa-9313-4f44-a8fc-a8388d2afcf7.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-2573238/original/4e79d9aa-9313-4f44-a8fc-a8388d2afcf7.jpeg?aki_policy=profile_x_medium,,1,5,"['email', 'phone', 'work_email']",t,t,,Prenzlauer Berg Nord,Pankow,52.553017,13.414815,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Dishes and silverware"", ""Hair dryer"", ""Kitchen"", ""Room-darkening shades"", ""Bed linens"", ""Smoke alarm"", ""Bathtub"", ""Body soap"", ""Hot water"", ""Extra pillows and blankets"", ""Central heating"", ""Dedicated workspace"", ""Cleaning products"", ""Essentials"", ""Cooking basics"", ""Washer"", ""Iron"", ""Wifi""]",$65.00,93,365,93,93,365,365,93.0,365.0,,t,0,0,0,151,2024-12-21,0,0,0,,,,,,,,,,,f,1,1,0,0,
975500812751010040,https://www.nocarz.pl/rooms/975500812751010040,20241221052002,2024-12-21,city scrape,#N25 - Nice Apartment Rummelsburg,"apartment with integrated cozy bed room and big platform like a huge bunk bed. perfect for families, kids, teens and young city travellers. Kitchen, washing machine, toilet, shower, dining table, tv, free wifi. with very good connection to public transport. your are within 5min. in the city center or can have a walk to the lovely Rummelsburg bay with water, nature and boats.",,https://a0.muscache.com/pictures/miso/Hosting-975500812751010040/original/46c720a2-5f4b-44ab-b0f6-b3856e7a0ce0.jpeg,2293972,https://www.nocarz.pl/users/show/2293972,Philipp,2012-05-04,"Berlin, Germany","Berliner, Hotelkaufmann",within an hour,100%,96%,f,https://a0.muscache.com/im/users/2293972/profile_pic/1428433425/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2293972/profile_pic/1428433425/original.jpg?aki_policy=profile_x_medium,Friedrichsfelde,15,37,"['email', 'phone']",t,t,,Neu Lichtenberg,Lichtenberg,52.50160883066239,13.482405820287706,Entire rental unit,Entire home/apt,5,1.0,1 bath,2,3,"[""Kitchen"", ""Room-darkening shades"", ""Bed linens"", ""Smoke alarm"", ""Electric stove"", ""Dishes and silverware"", ""Hot water kettle"", ""Long term stays allowed"", ""Microwave"", ""Refrigerator"", ""Hot water"", ""Central heating"", ""Private entrance"", ""Lockbox"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Dining table"", ""Pets allowed"", ""Essentials"", ""42 inch HDTV with Amazon Prime Video, Disney+, Netflix"", ""Free washer \u2013 In unit"", ""Self check-in"", ""Cleaning products"", ""Wifi"", ""Single level home"", ""Free street parking""]",$119.00,1,365,1,4,365,365,1.4,365.0,,t,26,56,66,66,2024-12-21,27,21,0,2023-09-20,2024-11-03,4.56,4.7,4.52,4.85,4.78,4.81,4.48,"Legal entity name and Legal form: Cityflair Berlin <br/>Legal representatives or Trade register number: Cityflair Berlin <br/> Entity address: Frankfurter Allee 26A, 10247, Berlin, Deutschland <br/>Listing address: Nöldnerstraße 25, 10317, Berlin, Deutschland",f,15,8,7,0,1.76
27869754,https://www.nocarz.pl/rooms/27869754,20241221052002,2024-12-21,city scrape,Bright Loft apartment city center Berlin Ku'damm,This beautiful apartment centrally located near Kurfürstendamm is waiting for you! The studio apartment has enough place for four to sleep. You’ll have a kitchen & bathroom fully equipped with everything necessary for a comfortable stay. Get ready for a truly Berlin experience with fantastic location near KaDeWe and Wittenbergplatz.,The apartment is located next to famous Ku'damm and shopping paradise KaDeWe. Kurfürstendamm is the main shopping street in Berlin.,https://a0.muscache.com/pictures/miso/Hosting-27869754/original/0fca7fb5-06b8-436f-8289-89684d0bdc74.jpeg,210291317,https://www.nocarz.pl/users/show/210291317,Ferry,2018-08-18,"Berlin, Germany","",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/c74a99cf-f282-441e-b2fa-f42a2ca8ffba.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c74a99cf-f282-441e-b2fa-f42a2ca8ffba.jpg?aki_policy=profile_x_medium,Schöneberg,8,16,"['email', 'phone']",t,t,"Berlin, Germany",Schöneberg-Nord,Tempelhof - Schöneberg,52.50252,13.34275,Entire rental unit,Entire home/apt,4,1.0,1 bath,0,1,"[""Wine glasses"", ""Kitchen"", ""Room-darkening shades"", ""Bed linens"", ""Smoke alarm"", ""Dishes and silverware"", ""Cleaning available during stay"", ""42 inch HDTV with Netflix"", ""Ka stainless steel electric stove"", ""Safe"", ""Hot water kettle"", ""Coffee maker"", ""Long term stays allowed"", ""Hair dryer"", ""Laundromat nearby"", ""Microwave"", ""Freezer"", ""Hot water"", ""Portable fans"", ""Central heating"", ""Fire extinguisher"", ""Dining table"", ""Luggage dropoff allowed"", ""Hangers"", ""Ka refrigerator"", ""Dedicated workspace"", ""Essentials"", ""First aid kit"", ""Toaster"", ""Clothing storage: dresser"", ""Self check-in"", ""Cooking basics"", ""Paid street parking off premises"", ""Wifi"", ""City skyline view"", ""Keypad""]",$68.00,1,1125,1,4,1125,1125,1.0,1125.0,,t,25,55,82,92,2024-12-21,145,17,1,2018-09-12,2024-12-11,4.34,4.57,4.32,4.62,4.54,4.85,4.34,"Legal entity name and Legal form: Jupiter Projektmanagement-InvestmentbGmbH <br/>Legal representatives or Trade register number: HRB 22140 B <br/> Entity address: Lietzenseeufer 10, 14057, Berlin, Deutschland <br/>Listing address: Ansbacher Str 11, 10787, Berlin, Deutschland",t,8,8,0,0,1.9
47791220,https://www.nocarz.pl/rooms/47791220,20241221052002,2024-12-21,city scrape,10 Minuten von Hauptbahnhof zu Fuß+Berlin Zentral,"We offer quietly situated accommodation on the 6th floor in a private bedroom with a balcony, which has a very nice view of a garden.The apartment is located  10 min away from Berlin Central Station (by foot). There are also several transport options such as bus line 245 and bus line 187 (genoa next to the apartment). Bus line 245 goes around Berlin.  <br /><br />The apartment is central and allows for the best Berlin experiences.",,https://a0.muscache.com/pictures/3d0138ef-ef61-4c11-8ae8-2268258b14eb.jpg,385197336,https://www.nocarz.pl/users/show/385197336,Hasan,2021-01-19,"Berlin, Germany","",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/1611a337-8424-4af3-86d7-eadcddd497a4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1611a337-8424-4af3-86d7-eadcddd497a4.jpg?aki_policy=profile_x_medium,,1,1,['phone'],t,t,,Moabit Ost,Mitte,52.52241,13.35536,Private room in rental unit,Private room,2,1.0,1 shared bath,1,1,"[""Wine glasses"", ""Coffee"", ""BBQ grill: electric"", ""Kitchen"", ""Shampoo"", ""Bed linens"", ""Smoke alarm"", ""Cooking basics"", ""Game console: Xbox One"", ""Dishes and silverware"", ""Private patio or balcony"", ""Breakfast"", ""Coffee maker"", ""Hot water kettle"", ""Long term stays allowed"", ""Hair dryer"", ""Stove"", ""Outdoor shower"", ""Microwave"", ""Refrigerator"", ""Freezer"", ""Hot water"", ""Paid parking off premises"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Dining table"", ""Shower gel"", ""Hangers"", ""Body soap"", ""Heating"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Fire pit"", ""Dishwasher"", ""Toaster"", ""Oven"", ""Bathtub"", ""Elevator"", ""Cleaning products"", ""Iron""]",$70.00,1,30,1,1,1125,1125,1.0,1125.0,,t,19,49,79,79,2024-12-21,50,15,0,2021-10-18,2024-10-16,4.86,4.82,4.66,4.86,4.84,4.84,4.78,"First name and Last name: Hasan Masri <br/> Contact address: Alt-Moabit, 10559, Berlin, Deutschland <br/>Listing address: Alt-Moabit, 10559, Berlin, Deutschland",t,1,0,1,0,1.29
